,s,r,chord,twist
0,0.0,19.24923,30.50643724216717,9.120264165271251
1,0.1111111111111111,46.525174666666665,42.81835956128811,21.622488919668186
2,0.22222222222222224,73.80111933333333,50.23639089686435,26.18806182466625
3,0.3333333333333333,101.077064,46.077911321523935,24.04776308740297
4,0.4444444444444444,128.35300866666665,39.959618177590556,20.536163283534748
5,0.5555555555555555,155.62895333333333,33.8871806653556,17.62592816530207
6,0.6666666666666665,182.90489799999997,28.792768181802895,15.903649787115853
7,0.7777777777777777,210.18084266666665,24.24890279693539,14.664997919928638
8,0.8888888888888887,237.4567873333333,19.58749955843069,12.160821503035834
9,1.0,264.732732,8.53188864890022,7.149916675164647
